MlDomainName,MlIntentName,Utterance
My_First_Intent_Set,Appointment_Related,My roof is leaking! I think it may be the new solar panels. I need someone here ASAP!
My_First_Intent_Set,Appointment_Related,"My solar panel needs repair, when can you come onsite?"
My_First_Intent_Set,Appointment_Related,My turbine is broken. I need someone to fix it.
My_First_Intent_Set,Appointment_Related,need appointment
My_First_Intent_Set,Appointment_Related,Need appt
My_First_Intent_Set,Appointment_Related,Need onsite assistance in regards to my turbine issues. When can you be here
My_First_Intent_Set,Appointment_Related,Need tech
My_First_Intent_Set,Appointment_Related,Need technician
My_First_Intent_Set,Appointment_Related,Need to book a new appointment
My_First_Intent_Set,Appointment_Related,Need to book appointment
My_First_Intent_Set,Appointment_Related,need to bring it in
My_First_Intent_Set,Appointment_Related,need to bring my in to fix
My_First_Intent_Set,Appointment_Related,Need to have somebody onsite to fix my solar panels. When can you be here?
My_First_Intent_Set,Appointment_Related,Need to schedule service
My_First_Intent_Set,Appointment_Related,need you to take a look at my
My_First_Intent_Set,Appointment_Related,needs some repair
My_First_Intent_Set,Appointment_Related,needs to be checked
My_First_Intent_Set,Appointment_Related,New appointment
My_First_Intent_Set,Appointment_Related,New appointment required
My_First_Intent_Set,Appointment_Related,New appt pls
My_First_Intent_Set,Appointment_Related,New service appointment
My_First_Intent_Set,Appointment_Related,New visit
My_First_Intent_Set,Appointment_Related,Onsite help
My_First_Intent_Set,Appointment_Related,Onsite tech
My_First_Intent_Set,Appointment_Related,Panel needs someone to replace
My_First_Intent_Set,Appointment_Related,Please have a tech come out to my house to repair my turbine this Friday.
My_First_Intent_Set,Appointment_Related,Please schedule my appointment on Friday Feb. 1 at 3pm to fix my panel.
My_First_Intent_Set,Appointment_Related,Please set new appointment
My_First_Intent_Set,Appointment_Related,schedule a maintenance appointment
My_First_Intent_Set,Appointment_Related,schedule a service appointment
My_First_Intent_Set,Appointment_Related,Schedule a visit
My_First_Intent_Set,Appointment_Related,schedule an appointment
My_First_Intent_Set,Appointment_Related,Schedule appointment
My_First_Intent_Set,Appointment_Related,Schedule appointment for you to fix my wind turbine
My_First_Intent_Set,Appointment_Related,Schedule me
My_First_Intent_Set,Appointment_Related,Schedule my appointment
My_First_Intent_Set,Appointment_Related,Schedule service
My_First_Intent_Set,Appointment_Related,schedule service appointments
My_First_Intent_Set,Appointment_Related,Schedule slot
My_First_Intent_Set,Appointment_Related,Schedule tech
My_First_Intent_Set,Appointment_Related,Schedule time
My_First_Intent_Set,Appointment_Related,Schedule visit
My_First_Intent_Set,Appointment_Related,Send someone out here
My_First_Intent_Set,Appointment_Related,service for my
My_First_Intent_Set,Appointment_Related,stop by tomorrow morning so that you can check my
My_First_Intent_Set,Appointment_Related,stopped working
My_First_Intent_Set,Appointment_Related,Tech onsite
My_First_Intent_Set,Appointment_Related,want to bring my for service
My_First_Intent_Set,Appointment_Related,want to schedule a visit for service
My_First_Intent_Set,Appointment_Related,want to schedule an appointment
My_First_Intent_Set,Appointment_Related,What are the times available for a Cirrus Energy technician to perform a service call?
My_First_Intent_Set,Appointment_Related,What openings does your field service techs have for next week?
My_First_Intent_Set,Appointment_Related,what time can my thing be fixed
My_First_Intent_Set,Appointment_Related,what time can the man come about fixing my stuff
My_First_Intent_Set,Appointment_Related,what time can the man come about my stuff?
My_First_Intent_Set,Appointment_Related,what time can you be here
My_First_Intent_Set,Appointment_Related,What would be a good time for a service tech to come look at our solar panel damage?
My_First_Intent_Set,Appointment_Related,when can my stuff be fixed
My_First_Intent_Set,Appointment_Related,When can you come onsite to fix my battery issues
My_First_Intent_Set,Appointment_Related,When can you have someone onsite to fix my battery issues?
My_First_Intent_Set,Appointment_Related,When is the earliest I can schedule service for my solar panels?
My_First_Intent_Set,Appointment_Related,where can I bring my
My_First_Intent_Set,Appointment_Related,Who can fix my panel?
My_First_Intent_Set,Appointment_Related,would like to schedule a repair appointment
